Experiment,Date,Run,Car,Base Weight (g),Added Weight (g),Total Weight (g),Condition,Trial,Time (s),Speed (m/s),Speed (mph),Scale Speed (mph),Momentum (kg*m/s),Kinetic Energy (J),Outlier,Notes
0g added,F-150 Test,31.546,1.5105,3.874,0.1222,0.2368,3
+3.5g tungsten,F-150 Control,41.525,1.4924,3.921,0.1628,0.3193,3
+3.5g tungsten,F-150 Test,35.046,1.4908,3.926,0.1376,0.2700,3
+7g tungsten,F-150 Control,45.025,1.4934,3.919,0.1764,0.3457,3
+7g tungsten,F-150 Test,38.546,1.4989,3.904,0.1505,0.2938,3
+14g tungsten,F-150 Control,52.025,1.5021,3.896,0.2027,0.3948,3
+14g tungsten,F-150 Test,45.546,1.4738,3.971,0.1809,0.3591,3

--- SUMMARY: VW Truck Comparison ---
Car,Weight (g),Condition,Avg Time (s),Avg Speed (m/s),Runs
VW Truck M41,48.500,XIAO sensor on roof,1.4954,3.913,4
VW Truck (Stock),48.884,No sensor (tape only),1.4564,4.018,2
,,Difference,,0.105 m/s faster without sensor (2.7%),

--- EXPERIMENT DESIGN ---
Independent Variable (IV):,"Amount of added weight (0g, +3.5g, +7g, +14g tungsten)"
Dependent Variable (DV):,Speed (m/s) and Time (s)
Controlled Variables (CV):,"Track length (5.8522m), start height, release method, car model (F-150), NFC tag mass (0.025g)"
Track Length:,5.8522 meters (19.2 feet)
Scale:,1:64
Measurement System:,M.A.S.S. Trap (ESP32-S3 + IR break-beam sensors)
Precision:,"+/- 0.001 seconds (microsecond clock, +/- 10ms sync uncertainty)"
Student:,"Ben Massfeller, Grade 5"

